entry	level	loc	authority	extract_lines	rust_home	callees	note
e011_LoopNode	3	57	dsc/dsc2.h:563	563-619	schedule/dsc2.rs:1385	e009,e010	8 C++ fields, 5 CARRIED, 3 MISSING. ⛔ LoopNode IS DECLARED TWICE — schedule/dsc2.rs:1385 and schedule/ddc/transformation_util.rs:521. Resolve the home first, same as e006.
e012_ConditionNode	3	35	dsc/dsc2.h:685	685-719	schedule/dsc2.rs:1551	e009,e010	3 C++ fields, 2 CARRIED, 1 MISSING. LoopCond (dsc/dsc2.h:654) and LoopCondComposite (:675) are its value types — check both are ported before pricing the gap.
e013_SyncNode	2	9	dsc/dsc2.h:964	964-972	schedule/dsc2.rs:1465	e009	✅ 5 of 5 FIELDS ALREADY CARRIED — the ONLY type in this campaign at parity. Verify and anchor; port nothing. It is the control that proves the measurement method works: if a re-measure says SyncNode is short, the measurement is broken, not the tree.
e014_TransferNode	2	85	dsc/dsc2.h:814	814-898	schedule/dsc2.rs:1215	e007,e008,e009	⭐ 26 C++ fields, 9 CARRIED, 17 MISSING: coreletViews_ dstIndirectLoopsAndSizes_ dstReps_ dstSizeIdx_ lastFusableParentLoopDst_ lastFusableParentLoopSrc_ locIndirect_ repetition_ and more — open each citation. ⛔ getTransferType NEVER TOUCHES constantInfo_, whatever a prior stub message says.
e015_ComputeNode	2	63	dsc/dsc2.h:900	900-962	schedule/dsc2.rs:1036	e007,e009	⭐ 22 C++ fields, 8 CARRIED, 14 MISSING: computeMaskLoopOffsets_ coreletViews_ forInputs_ forOutputs_ indices_ inputCoordinates_ inputsLoopsAndSizes_ isOpaqueOp_ loopEleOffsets_ and more. isOpaqueOp_ is what stages/ddc_store2.rs's is_opaque() cannot answer; RepetitionWithOffset (dsc/dsc2.h:950) is what its output_repetitions() cannot.
e016_ScheduleTree	4	32	dsc/dsc2.h:621	621-652	schedule/dsc2.rs:1903	e009,e011	MEASURED EDGES from its own class body: ScheduleNode x8, LoopNode x3, BlockNode ZERO (an earlier draft said e010). 2 C++ fields, ZERO CARRIED. ⛔⛔ AND THIS TYPE IS WHERE THE "TWO HOMES" DEFECT LIVES — the scheduled tree has been written to DscState.tree while the bake lowered SuperDsc.scheduleTree_. DesignSpaceConfig::scheduleTree_ (e018, NOT e017 — e017 is Metadata) must BE this type, not a copy of it. A port that leaves two trees leaves the bug.
e017_Metadata	0	209	ddc/ddc_metadata.h:31	31-239	schedule/ddc/metadata.rs:919		⭐ LEVEL 0 — INDEPENDENT, measured: `struct Metadata`'s body references FailedAlloc, DataStructDims and PrimaryDimAndKind ZERO times each. It is scheduled beside e018 only because the two are the widest types in the campaign (41 and 49 fields), not because it depends on anything here. ⭐ 41 C++ fields, 18 CARRIED, 23 MISSING: accessPatternPerDim_ allocate_ allowEpilogue_ cannotBeSymbolic_ constraints_ consumers_ inOutRegAllocs_ internalRegAlloc_ internalRegs_ and more. Its nested Datastage/Constraints/DataTransfer/Allocation/ExternalTransfer/DataConnect/OpaqueOp structs are part of this unit. metadata.dataConnects_.at() is what stages/ddc_store2.rs's connect_consumers() cannot answer.
e018_DesignSpaceConfig	5	650	dsc/designSpaceConfig.h:51	51-700	schedule/l3/dsc.rs:515	e001,e006,e016	⭐⭐ MEASURED EDGES, from its own class body: DataStructDims x15, DataStage x3, ScheduleTree x1, ConstantInfo x1, PaddingFormType x1 — and Metadata ZERO, so it does NOT depend on e017 (an earlier draft of this row said it did). ⛔⛔ THIS UNIT HAS FAILED TWICE AND BOTH TIMES THE AGENT INVENTED TYPES THAT DO NOT EXIST: `DscInputs`, `DscDims`, `dsc_names` have ZERO hits tree-wide, and `full_padding` is not a field of DesignSpaceConfig. ⛔ INTRODUCE NO TYPE OR FIELD NAME THAT IS NOT EITHER ALREADY IN crates/compiler/deeptools/src OR DECLARED IN crustify-types/cpp/designSpaceConfig.h. If a field's C++ type has no Rust counterpart yet, that is a DEFERRED unit citing its line — not a name you make up. ⭐ ADD THE FIELDS IN GROUPS OF ~6 AND RUN `cargo check -p deeptools` BETWEEN GROUPS; 27 fields at once on the crate's most-referenced type is what defeated both earlier attempts. ⭐ THE 27 MISSING FIELDS, EACH WITH ITS DECLARATION LINE IN dsc/designSpaceConfig.h — port these and nothing else: name_ (:72) numCoresUsed_ (:73) dimToSymbolMapping_ (:77) unpadN_ (:82) dscN_ (:83) computeOp_ (:89) constantInfo_ (:90) pdsRelation_ (:94) ChipD_ (:95) ChipletD_ (:96) coordinateMasking_ (:100) maskingConstId_ (:101) B_ (:106) T_ (:107) Tel_ (:108) P_ (:109) Pel_ (:110) sc_ (:111) loopOrder_ (:112) loopProperties_ (:113) auxLoopOrder_ (:114) scheduleTree_ (:115) l0TetheredMode_ (:117) pcfg_ (:120) target_ (:121) ptr_ (:130) size_ (:131). ⚠ pcfg_ (:120) IS OFF OUR PATH — DCG/PCFG was decided out of scope 2026-09-09, so DEFER it with that citation rather than porting it. ⭐⭐ 36 DECLARED fields, 9 CARRIED, 27 MISSING — the biggest single gap in the crate. (An earlier note said 49/40: that denominator counted member ACCESSES in the class's own method bodies — `&N_.i_` at :618, `primaryDsInfo_.at(..).stickDimOrder_` at :242 — which are nested types' fields, not this one's.) ⛔⛔ SPLIT 2026-09-17 AFTER THREE FAILURES: this unit is now ONLY the identity group below; the other 21 fields are e019-e024. THIS UNIT'S SIX FIELDS: name_ (:72) numCoresUsed_ (:73) unpadN_ (:82) dscN_ (:83) l0TetheredMode_ (:117) target_ (:121).	DesignSpaceConfig	name_,numCoresUsed_,unpadN_,dscN_,l0TetheredMode_,target_
e019_DesignSpaceConfig_loops	6	3	dsc/designSpaceConfig.h:112	112-114	schedule/l3/dsc.rs:515	e018	⭐ THE LOOP ORDER, AND IT IS LOAD-BEARING: bridge 1's acceptance criterion is that the ScheduleNode tree GAINS LOOP NODES, and the order they nest in is carried NOWHERE in the crate today. loopOrder_ (dsc/designSpaceConfig.h:112) is a std::vector<LoopNames>; loopProperties_ (:113); auxLoopOrder_ (:114). ⛔ Chained after e018 on purpose — all of e018-e024 write the SAME Rust struct (schedule/l3/dsc.rs:515), so they must occupy DISTINCT dependency layers or two agents edit one file at once.	DesignSpaceConfig	loopOrder_,loopProperties_,auxLoopOrder_
e020_DesignSpaceConfig_tree	7	1	dsc/designSpaceConfig.h:115	115-115	schedule/l3/dsc.rs:515	e019	⛔⛔ ONE FIELD, AND IT IS THE "TWO HOMES" DEFECT: scheduleTree_ (dsc/designSpaceConfig.h:115) is a dsc2::ScheduleTree BY VALUE. The scheduled tree has been written to DscState.tree while the bake lowered SuperDsc.scheduleTree_ — see memory the-bake-schedules-a-throwaway-copy. This field must BE e016_ScheduleTree's ported type, not a copy of it. Its own unit because it is one field that decides whether the port has one tree or two.	DesignSpaceConfig	scheduleTree_
e021_DesignSpaceConfig_geometry	8	8	dsc/designSpaceConfig.h:95	95-111	schedule/l3/dsc.rs:515	e020	The core/chip geometry: ChipD_ (:95) ChipletD_ (:96) B_ (:106) T_ (:107) Tel_ (:108) P_ (:109) Pel_ (:110) sc_ (:111). ⚠ THESE ARE NOT THE 13 PRIMARY DIMS — do not confuse them with StageDims' dim values, and do not invent a PrimaryDim variant for any of them. Newtypes, never raw scalars: transposing two of these must be E0308.	DesignSpaceConfig	ChipD_,ChipletD_,B_,T_,Tel_,P_,Pel_,sc_
e022_DesignSpaceConfig_ops	9	4	dsc/designSpaceConfig.h:77	77-94	schedule/l3/dsc.rs:515	e021	dimToSymbolMapping_ (:77) computeOp_ (:89) constantInfo_ (:90) pdsRelation_ (:94). ⭐ computeOp_ IS THE ONE stages/ddc_state.rs's header calls a fact "l3::dsc does not carry" and hands in as a CONSTRUCTION ARGUMENT — v1::PrepDsc::compute_ops is the first provider call run_v1 makes (ddc/v1.rs:6437) and an EMPTY answer makes it `continue` past the DSC, i.e. a false green. Carrying it here is what lets that argument go away. constantInfo_ is a std::vector<ConstantInfo> (dsc/dsc2.h:46).	DesignSpaceConfig	dimToSymbolMapping_,computeOp_,constantInfo_,pdsRelation_
e023_DesignSpaceConfig_masking	10	2	dsc/designSpaceConfig.h:100	100-101	schedule/l3/dsc.rs:515	e022	coordinateMasking_ (:100) maskingConstId_ (:101). Read against the STICK-MASK path; a mask sentinel has been mangled on device before (memory mask-sentinel-mangled-on-device), so state the width and the constant id exactly as the reference does.	DesignSpaceConfig	coordinateMasking_,maskingConstId_
e024_DesignSpaceConfig_storage	11	2	dsc/designSpaceConfig.h:130	130-131	schedule/l3/dsc.rs:515	e023	ptr_ (:130) size_ (:131) — the DSC's own backing store. ⛔ NO raw pointer in the Rust port: this is a pure-logic port with no unsafe and no wrapped layout. Model what the pointer IDENTIFIES, not the address. ⚠ pcfg_ (:120) IS DELIBERATELY NOT A UNIT ANYWHERE: DCG/PCFG was decided off our path 2026-09-09 — leave it deferred with that citation.	DesignSpaceConfig	ptr_,size_
